source_entity,relationship_type,target_entity,source_document
Remote Robotics Engineer,BELONGS_TO_DOMAIN,Platinum Economy,Kenya Platinum Economy 26 June 2025.pdf
Fish Export,LOCATED_IN,Ghana,Ghana Blue Economy 25 June 2025.pdf
Kaolack,LOCATED_IN,Senegal,Senegal Bronze Economy 26 June 2025.pdf
Solar PV Technician,REQUIRES_SKILL,Physical Dexterity,Senegal Green Economy 25 June 2025.pdf
Kenyan Creative Workforce,BELONGS_TO_DOMAIN,Orange Economy,Kenya Orange Economy 25 June 2025.pdf
Author,HAS_CHARACTERISTIC,Knowledge,Ghana Orange Economy 25 June 2025.pdf
Coal_Worker,PART_OF_INDUSTRY,Coal_Mining_Industry,South Africa Green Economy 25 June 2025.pdf
Cybersecurity,LOCATED_IN,Africa,South Africa Yellow Economy 25 June 2025.pdf
Production Managers,HAS_CHARACTERISTIC,Skilled,Senegal Iron Economy 26 June 2025.pdf
Forestry Sector,BELONGS_TO_DOMAIN,Green Economy,Senegal Bronze Economy 26 June 2025.pdf
Video Editor / VFX Artist,LOCATED_IN,Addis Ababa,Ethiopia Orange Economy 25 June 2025.pdf
Data Scientist,LOCATED_IN,fintech hubs,South Africa Gold Economy 26 June 2025.pdf
Community Mobilization,PART_OF_INDUSTRY,Community Health Work,South Africa Lavender Economy 25 June 2025.pdf
Heavy Equipment Operation,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
Consultancies,LOCATED_IN,Senegal,Lists of Job Platforms in our Countries.pdf
Gender Specialist,BELONGS_TO_DOMAIN,Yellow Economy,Kenya Yellow Economy 25 June 2025.pdf
Forest and Wildlife Resources,BELONGS_TO_DOMAIN,Bronze Economy,Ghana Green Economy 25 June 2025.pdf
Senior Fishery and Aquaculture Officer,HAS_CHARACTERISTIC,Formal,Ghana Blue Economy 25 June 2025.pdf
UX/UI Designer,BELONGS_TO_DOMAIN,Gold Economy,Kenya Platinum Economy 26 June 2025.pdf
Archivist,HAS_CHARACTERISTIC,Knowledge,Ghana Orange Economy 25 June 2025.pdf
Editor,REQUIRES_SKILL,Narrative structure,Ghana Orange Economy 25 June 2025.pdf
Education and Early Childhood Development,BELONGS_TO_DOMAIN,Lavender Economy,Senegal Lavender Economy 25 June 2025.pdf
Recycling,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Photographer,LOCATED_IN,Ghana,Ghana Blue Economy 25 June 2025.pdf
Teaching,HAS_CHARACTERISTIC,Formal employment,Ghana Yellow Economy 25 June 2025.pdf
Independent Contractors,REQUIRES_SKILL,Entrepreneurial Skills,South Africa Orange Economy 25 June 2025.pdf
ESG Professionals,BELONGS_TO_DOMAIN,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Gold Economy,HAS_CHARACTERISTIC,High-wage,Senegal Gold Economy 26 June 2025.pdf
Digital Transformation Consultant/Executive,REQUIRES_SKILL,Stakeholder Management,South Africa Platinum Economy 26 June 2025.pdf
AI,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Protection Systems Expert,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Lavender Economy 25 June 2025.pdf
MPhil,HAS_PREREQUISITE,Agriculture,Ghana Green Economy 25 June 2025.pdf
Ethiopian Evaluation Association,INFLUENCED_BY,National Evaluation Policy,Ethiopia Yellow Economy 25 June 2025.pdf
AutoCAD,PART_OF_INDUSTRY,Construction,Senegal Green Economy 25 June 2025.pdf
Fisheries Data Analyst,HAS_CHARACTERISTIC,Knowledge,Kenya Blue Economy 25 June 2025.pdf
University of Cape Coast,LOCATED_IN,Cape Coast (Central),Ghana Orange Economy 25 June 2025.pdf
Graphic Designer,PART_OF_INDUSTRY,NGOs,Ghana Orange Economy 25 June 2025.pdf
Graphic Designer,BELONGS_TO_DOMAIN,Platinum Economy,Ghana Orange Economy 25 June 2025.pdf
Quantity Surveyors,REQUIRES_SKILL,Building Economics,Kenya Iron Economy 26 June 2025.pdf
ML Engineer,REQUIRES_SKILL,NumPy,Kenya Platinum Economy 26 June 2025.pdf
SNNP,PART_OF_INDUSTRY,Regional & City -Specific Filters,Lists of Job Platforms in our Countries.pdf
Consultant Confirmé Stratégie Secteur Public,REQUIRES_SKILL,Economic Modeling,Senegal Yellow Economy 25 June 2025.pdf
Data Engineer,HAS_CHARACTERISTIC,Elastic,South Africa Platinum Economy 26 June 2025.pdf
Finance,BELONGS_TO_DOMAIN,Gold Economy,Planning The Refracted Economies Framework.pdf
SANEDI,PART_OF_INDUSTRY,South African National Energy Development Institute,South Africa Green Economy 25 June 2025.pdf
Campusen,GOVERNED_BY,MESRI,Senegal Undergraduate Admission Prerequisites_.pdf
Agent Network,BELONGS_TO_DOMAIN,Gold Economy,Senegal Gold Economy 26 June 2025.pdf
AI,TEACHES_SKILL,Technology Fluency,Ethiopia Platinum Economy 26 June 2025.pdf
Lead Data Scientist,HAS_CHARACTERISTIC,Elastic,Kenya Platinum Economy 26 June 2025.pdf
World Vision,LOCATED_IN,Nairobi,Kenya Yellow Economy 25 June 2025.pdf
Internet of Things (IoT) Engineer,HAS_CHARACTERISTIC,Elastic,Senegal Platinum Economy 26 June 2025.pdf
Museum/Gallery Curator,LOCATED_IN,Cape Coast,Ghana Orange Economy 25 June 2025.pdf
CI/CD,REQUIRES_SKILL,DevOps Engineer,South Africa Yellow Economy 25 June 2025.pdf
C++ Developers,BELONGS_TO_DOMAIN,Platinum Economy,Ghana Platinum Economy 26 June 2025.pdf
Government Sponsorship Scheme,INFLUENCED_BY,Family's Economic Hardship,Ethiopian University Admission Prerequisites_.pdf
Finance Lead,LOCATED_IN,Senegal,Senegal Gold Economy 26 June 2025.pdf
Cultural Tourism,LOCATED_IN,Nairobi,Kenya Orange Economy 25 June 2025.pdf
Strategy Consulting,HAS_CHARACTERISTIC,Formal,Ethiopia Platinum Economy 26 June 2025.pdf
Assistant Director II,BELONGS_TO_DOMAIN,Yellow Economy,Ghana Yellow Economy 25 June 2025.pdf
Habesha Dress,PART_OF_INDUSTRY,TheEthiopianStore,Ethiopia Orange Economy 25 June 2025.pdf
Journalism,HAS_PREREQUISITE,Bachelor's degree,Ethiopia Platinum Economy 26 June 2025.pdf
National Industrial Training Authority (NITA),IMPLEMENTS,Solar Technician,Kenya Green Economy 25 June 2025.pdf
L1 IT Support Technician,HAS_CHARACTERISTIC,Informal,South Africa Yellow Economy 25 June 2025.pdf
ECD Practitioner,REQUIRES_SKILL,Patience,South Africa Lavender Economy 25 June 2025.pdf
Vegetable Planting Technician,REQUIRES_SKILL,irrigation system operation,Ghana Bronze Economy 26 June 2025.pdf
Ethiopian School Leaving Examination,HAS_PREREQUISITE,Undergraduate Admission,Ethiopian University Admission Prerequisites_.pdf
Agri-Jeunes Tekki Ndawñi,INFLUENCED_BY,AfDB,Senegal Bronze Economy 26 June 2025.pdf
Water Resources Engineer,REQUIRES_SKILL,Civil Engineering,Kenya Green Economy 25 June 2025.pdf
Independent EIA Practitioner,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Electric Vehicle (EV) Battery Technician,HAS_CHARACTERISTIC,Skilled,South Africa Green Economy 25 June 2025.pdf
UG,TEACHES_SKILL,Mechanical Engineering Degree,Ghana Green Economy 25 June 2025.pdf
Community Tourism Coordinator,LOCATED_IN,iSimangaliso Wetland Park,South Africa Green Economy 25 June 2025.pdf
Advanced Manufacturing & Automation,REQUIRES_SKILL,Industrial Engineering,South Africa Yellow Economy 25 June 2025.pdf
EXPLOITATION AGRICOLE,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Departments of Higher Education and Training,IMPLEMENTS,"National ""Green Artisan"" Training Programme",South Africa Iron Economy 26 June 2025.pdf
Hiring Freeze,INFLUENCED_BY,Restructuring of State Corporations,Kenya Yellow Economy 25 June 2025.pdf
Technical and Vocational Teacher Training,HAS_CHARACTERISTIC,Knowledge,Senegal Undergraduate Admission Prerequisites_.pdf
Carbon Development Firm,LEADS_TO,Carbon Forester,Ghana Green Economy 25 June 2025.pdf
Activities Coordinator,BELONGS_TO_DOMAIN,Lavender Economy,Ghana Gold Economy 26 June 2025.pdf
Remote Work,BELONGS_TO_DOMAIN,Platinum Economy,Ghana Platinum Economy 26 June 2025.pdf
Graphic_Designer,LOCATED_IN,Kenya,Kenya Orange Economy 25 June 2025.pdf
JKUAT,TEACHES_SKILL,Quantity Surveyor,Kenya Iron Economy 26 June 2025.pdf
GIZ's Conservation Agriculture Manual,INFLUENCED_BY,Ministry of Food and Agriculture,Ghana Bronze Economy 26 June 2025.pdf
Financial Advisor,REQUIRES_SKILL,Portfolio Strategy,South Africa Gold Economy 26 June 2025.pdf
Liquidity Manager,REQUIRES_SKILL,hedging instruments,South Africa Gold Economy 26 June 2025.pdf
Quality Assurance (QA) & Testing Engineer,HAS_CHARACTERISTIC,Knowledge,Senegal Platinum Economy 26 June 2025.pdf
Development Professional,REQUIRES_SKILL,Proposal Writing,Senegal Yellow Economy 25 June 2025.pdf
Natural Sciences Stream,REQUIRES_SKILL,Physics,Ethiopian University Admission Prerequisites_.pdf
Digital Sector,BELONGS_TO_DOMAIN,Platinum Economy,Senegal Platinum Economy 26 June 2025.pdf
Warehouse Supervisor,LOCATED_IN,Nairobi,Kenya Iron Economy 26 June 2025.pdf
Digital Transformation Consulting,REQUIRES_SKILL,Stakeholder Management,Kenya Platinum Economy 26 June 2025.pdf
Communication,REQUIRES_SKILL,NFT Artist,Ghana Orange Economy 25 June 2025.pdf
Water Management,BELONGS_TO_DOMAIN,Blue Economy,South Africa Green Economy 25 June 2025.pdf
Dakar Industrial Zones,LOCATED_IN,Large Industrial Companies,Senegal Green Economy 25 June 2025.pdf
Head of Corporate Credit Origination,HAS_CHARACTERISTIC,Skilled,Kenya Gold Economy 26 June 2025.pdf
Logistics,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
Energy Auditor,LOCATED_IN,Ghana's major urban centers,Ghana Green Economy 25 June 2025.pdf
Eco-Tourism,BELONGS_TO_DOMAIN,Orange Economy,Ghana Green Economy 25 June 2025.pdf
Field Agronomist,REQUIRES_SKILL,providing technical advice to farmers,Ghana Bronze Economy 26 June 2025.pdf
Ethiojobs,PART_OF_INDUSTRY,Development Partner Community,Ethiopia Yellow Economy 25 June 2025.pdf
Ntonso,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Network Architect,HAS_CHARACTERISTIC,Skilled,Senegal Platinum Economy 26 June 2025.pdf
Ewoyaa Lithium Mine,LOCATED_IN,"Ewoyaa, Central",Ghana Iron Economy 26 June 2025.pdf
TVET System,GOVERNED_BY,National TVET Strategy,Ethiopian University Admission Prerequisites_.pdf
Digital Arts,LOCATED_IN,Remote/Digital,Ghana Orange Economy 25 June 2025.pdf
Digital Content Manager,REQUIRES_SKILL,Social Media Strategy,South Africa Orange Economy 25 June 2025.pdf
Sorter,HAS_CHARACTERISTIC,Unskilled,Kenya Green Economy 25 June 2025.pdf
Financial Literacy Trainer,REQUIRES_SKILL,Savings,Senegal Green Economy 25 June 2025.pdf
finance,LOCATED_IN,Nairobi,Kenya Platinum Economy 26 June 2025.pdf
Nurse,LOCATED_IN,Rural Counties,Kenya Lavender Economy 25 June 2025.pdf
Green Bunkering,BELONGS_TO_DOMAIN,Blue Economy,Kenya Blue Economy 25 June 2025.pdf
Financial Planner,HAS_CHARACTERISTIC,Skilled,Ghana Gold Economy 26 June 2025.pdf
Technical Product Manager,HAS_CHARACTERISTIC,Elastic,Kenya Platinum Economy 26 June 2025.pdf
Product Owner,REQUIRES_SKILL,Technical Literacy,South Africa Platinum Economy 26 June 2025.pdf
Sub-specialist Surgeon,BELONGS_TO_DOMAIN,Lavender Economy,Ghana Lavender Economy 25 June 2025.pdf
Ocean Accounts Fellow,HAS_CHARACTERISTIC,Elastic,Ghana Blue Economy 25 June 2025.pdf
"Senior Specialist: Change, Technology & Cyber Risk",PART_OF_INDUSTRY,Absa Bank,Kenya Gold Economy 26 June 2025.pdf
Art Director,HAS_CHARACTERISTIC,Skilled,South Africa Orange Economy 25 June 2025.pdf
"New, Decent Jobs",LOCATED_IN,Mpumalanga,South Africa Green Economy 25 June 2025.pdf
UNICEF,LOCATED_IN,Senegal,Senegal Lavender Economy 25 June 2025.pdf
Kenya,LOCATED_IN,MyJobMag,Lists of Job Platforms in our Countries.pdf
Network Technician,LOCATED_IN,Nairobi,Kenya Platinum Economy 26 June 2025.pdf
Coordination,PART_OF_INDUSTRY,Education,Ghana Yellow Economy 25 June 2025.pdf
Targeted Technical Training for Women,LOCATED_IN,Senegal,Senegal Iron Economy 26 June 2025.pdf
SACCO Societies Regulatory Authority,IMPLEMENTS,Compliance officers,Kenya Gold Economy 26 June 2025.pdf
Researcher,REQUIRES_SKILL,AI,Ethiopia Platinum Economy 26 June 2025.pdf
Credit Analysts,BELONGS_TO_DOMAIN,Green Economy,Senegal Green Economy 25 June 2025.pdf
Society for the Aged (SOFAG),LOCATED_IN,Ashanti Region,Ghana Gold Economy 26 June 2025.pdf
ICT Innovation,INFLUENCED_BY,SN2025,Senegal Platinum Economy 26 June 2025.pdf
iOS Developer,PART_OF_INDUSTRY,Software Development and Engineering,Kenya Platinum Economy 26 June 2025.pdf
Formal,HAS_CHARACTERISTIC,Apprenticeships,Kenya Orange Economy 25 June 2025.pdf
Primary Education,LOCATED_IN,Senegal,Senegal Lavender Economy 25 June 2025.pdf
Product knowledge,REQUIRES_SKILL,Technico-Commercial,Senegal Green Economy 25 June 2025.pdf
Digital Twin Engineer (Infrastructure),INFLUENCED_BY,smart cities,South Africa Green Economy 25 June 2025.pdf
Commercial Creative Services,BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
Gold Economy,BELONGS_TO_DOMAIN,Economic_Domain,Kenya Gold Economy 26 June 2025.pdf
Memorization,REQUIRES_SKILL,Theatre Actor,Ghana Orange Economy 25 June 2025.pdf
Friends of the Earth International,LOCATED_IN,Ghana,Ghana Green Economy 25 June 2025.pdf
Haulage,BELONGS_TO_DOMAIN,Iron Economy,Kenya Blue Economy 25 June 2025.pdf
Strategic and Management Consulting,BELONGS_TO_DOMAIN,Yellow Economy,Ethiopia Platinum Economy 26 June 2025.pdf
"Officer, Renewable Energy Efficiency",BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Gobez Media,PART_OF_INDUSTRY,Film Production,Ethiopia Platinum Economy 26 June 2025.pdf
HEVA Fund,IMPLEMENTS,Ota Kopa,Kenya Orange Economy 25 June 2025.pdf
Senior Data Scientist,HAS_CHARACTERISTIC,Skilled,South Africa Yellow Economy 25 June 2025.pdf
Factory Jobs,HAS_CHARACTERISTIC,Unskilled,Ghana Bronze Economy 26 June 2025.pdf
Accelerators,INFLUENCED_BY,Early-Stage Ventures,Ghana Platinum Economy 26 June 2025.pdf
Data Visualization,PART_OF_INDUSTRY,Data & Digital Skills,Ethiopia Yellow Economy 25 June 2025.pdf
Private Analysis Laboratories,LEADS_TO,Laboratory Technician,Senegal Lavender Economy 25 June 2025.pdf
Green Building,LOCATED_IN,Gauteng,South Africa Green Economy 25 June 2025.pdf
ReSea Project,PART_OF_INDUSTRY,Coastal Communities,Kenya Blue Economy 25 June 2025.pdf
Digital Environmental Services,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Government Administration,PART_OF_INDUSTRY,Public Sector,Kenya Yellow Economy 25 June 2025.pdf
Vocational Diplomas,HAS_PREREQUISITE,Technicien en Traitement de l'Eau,Senegal Green Economy 25 June 2025.pdf
Business Intelligence Analyst,HAS_CHARACTERISTIC,Elastic,Senegal Yellow Economy 25 June 2025.pdf
Price Preference System (PPS),GOVERNED_BY,Scrap Metal,South Africa Iron Economy 26 June 2025.pdf
Community Health,PART_OF_INDUSTRY,Care Sector,South Africa Lavender Economy 25 June 2025.pdf
Carer,LOCATED_IN,Western Cape,South Africa Lavender Economy 25 June 2025.pdf
Digital Jobs,HAS_CHARACTERISTIC,Skilled,South Africa Yellow Economy 25 June 2025.pdf
Research Internships,REQUIRES_SKILL,Sustainable Practices in Healthcare,Senegal Green Economy 25 June 2025.pdf
AI Specialist,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Platinum Economy 26 June 2025.pdf
Wealth Advisor,LOCATED_IN,Ghana,Ghana Gold Economy 26 June 2025.pdf
NGO/Aid Roles,HAS_CHARACTERISTIC,Gig,Lists of Job Platforms in our Countries.pdf
Photovoltaic,REQUIRES_SKILL,Diploma for Renewable Energy Technicians (Photovoltaic),Senegal Green Economy 25 June 2025.pdf
Alpha and Omega Publications,LOCATED_IN,Kumasi,Ghana Orange Economy 25 June 2025.pdf
Science Communicator,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Machine Learning Engineer,LOCATED_IN,Nairobi,Kenya Gold Economy 26 June 2025.pdf
Full -Stack Creative,REQUIRES_SKILL,Business Acumen,Kenya Orange Economy 25 June 2025.pdf
Wildlife Officer,LOCATED_IN,Forestry Commission,Ghana Green Economy 25 June 2025.pdf
Bio and Emerging Technology Institute (BETin),INFLUENCED_BY,Plant Biotechnology,Ethiopia Platinum Economy 26 June 2025.pdf
Agricultural Extension Service,BELONGS_TO_DOMAIN,Bronze Economy,Kenya Braonze Economy 25 June 2025.pdf
Plumbing Trades,REQUIRES_SKILL,Renewable Energy Technologies,Ghana Iron Economy 26 June 2025.pdf
Déchets,LOCATED_IN,Sénégal,Senegal Green Economy 25 June 2025.pdf
MMDA Staff,HAS_CHARACTERISTIC,Formal employment,Ghana Yellow Economy 25 June 2025.pdf
Donor_Funded_Consultancy_Roles,BELONGS_TO_DOMAIN,Yellow Economy,Ghana Green Economy 25 June 2025.pdf
Online Health Educator,REQUIRES_SKILL,Content management systems (CMS),Senegal Lavender Economy 25 June 2025.pdf
Program Manager,REQUIRES_SKILL,Reporting,Ethiopia Yellow Economy 25 June 2025.pdf
Cyber Security Analyst,PART_OF_INDUSTRY,Cybersecurity,Ethiopia Platinum Economy 26 June 2025.pdf
Solar Technician,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Construction_Jobs,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Data Scientist,REQUIRES_SKILL,Machine Learning,Senegal Platinum Economy 26 June 2025.pdf
Digital Twin Engineer,HAS_CHARACTERISTIC,Knowledge,South Africa Yellow Economy 25 June 2025.pdf
Collective Management Organization (CMO),PART_OF_INDUSTRY,Music,Ethiopia Orange Economy 25 June 2025.pdf
SMEs,LEADS_TO,Consultants,South Africa Blue Economy 25 June 2025.pdf
Artificial Intelligence (AI) Specialist,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Yellow Economy 25 June 2025.pdf
Service Engineer,HAS_CHARACTERISTIC,Skilled,Senegal Iron Economy 26 June 2025.pdf
national Order of Nurses,GOVERNED_BY,Ministries of Health,Senegal Lavender Economy 25 June 2025.pdf
Computer Engineering,HAS_CHARACTERISTIC,Skilled,Ethiopia Platinum Economy 26 June 2025.pdf
Registrar,HAS_CHARACTERISTIC,Knowledge,Ghana Yellow Economy 25 June 2025.pdf
Orange Economy,HAS_CHARACTERISTIC,Informal,Kenya Orange Economy 25 June 2025.pdf
AI-Driven English/Language Arts Learning Strategist,HAS_CHARACTERISTIC,Elastic,Ethiopia Platinum Economy 26 June 2025.pdf
Ghana,INFLUENCED_BY,Digital Transformation,Ghana Platinum Economy 26 June 2025.pdf
Quality and Production Manager,HAS_CHARACTERISTIC,Skilled,Kenya Iron Economy 26 June 2025.pdf
Project Manager (Construction),REQUIRES_SKILL,Civil Eng.,Kenya Iron Economy 26 June 2025.pdf
Utilities,PART_OF_INDUSTRY,Energy Access Scale-Up Project,Senegal Iron Economy 26 June 2025.pdf
Public sector workforce,PART_OF_INDUSTRY,Public sector,Ethiopia Yellow Economy 25 June 2025.pdf
Data Analyst,BELONGS_TO_DOMAIN,Platinum Economy,Senegal Platinum Economy 26 June 2025.pdf
Workshop Facilitator,HAS_PREREQUISITE,Practitioner status,Ghana Orange Economy 25 June 2025.pdf
Hôtesse de Vente (Fashion Boutique),HAS_CHARACTERISTIC,Formal,Senegal Orange Economy 25 June 2025.pdf
Theatre Actors,PART_OF_INDUSTRY,Performing Arts,Ghana Orange Economy 25 June 2025.pdf
Nairobi,PART_OF_INDUSTRY,Waste Management,Kenya Green Economy 25 June 2025.pdf
Product Designer,HAS_CHARACTERISTIC,Skilled,Senegal Gold Economy 26 June 2025.pdf
United Bank for Africa,PART_OF_INDUSTRY,Banking Sector,Senegal Gold Economy 26 June 2025.pdf
Physician / Medical Officer,PART_OF_INDUSTRY,Jocham Hospital,Kenya Lavender Economy 25 June 2025.pdf
Aquaculture and Fisheries,HAS_CHARACTERISTIC,Skilled,South Africa Blue Economy 25 June 2025.pdf
Passive Design,REQUIRES_SKILL,Architect/Designer (Eco-Design),South Africa Green Economy 25 June 2025.pdf
Remote Adjunct Faculty,HAS_CHARACTERISTIC,Knowledge,Ghana Yellow Economy 25 June 2025.pdf
Non-Timber_Forest_Products,PART_OF_INDUSTRY,Forestry_Sector,Ghana Bronze Economy 26 June 2025.pdf
Masonry,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
Forestry Officer,HAS_CHARACTERISTIC,Physical,Senegal Bronze Economy 26 June 2025.pdf
Drum Maker,HAS_CHARACTERISTIC,Physical,Ghana Orange Economy 25 June 2025.pdf
Information Security Manager,LOCATED_IN,Ghana,Ghana Platinum Economy 26 June 2025.pdf
GES Teacher,HAS_PREREQUISITE,Ghana Teacher Licensure Examination,Ghana Yellow Economy 25 June 2025.pdf
Data Visualization,HAS_PREREQUISITE,Storytelling,South Africa Orange Economy 25 June 2025.pdf
Circular Economy Strategist,BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
Yellow Economy,HAS_CHARACTERISTIC,Skilled,South Africa Yellow Economy 25 June 2025.pdf
